"tconst","averageRating","numVotes"
"tt10147672",7.6,11
"tt10147676",5.4,240
"tt10147790",7.4,81
"tt10147894",6.3,157
"tt10148028",6.6,20
"tt10148090",9.1,142
"tt10148174",4.5,16069
"tt10149980",6.2,218
"tt10150018",7.7,6
"tt10150154",6,304
"tt10150214",5.7,73
"tt10150360",7.3,83
"tt10150474",8,6
"tt10150586",9,53
"tt10150924",7,131
"tt10151176",5.7,20
"tt10151558",7.2,10
"tt10151658",6.3,16
"tt10151772",6.2,1537
"tt10151790",9.2,38
"tt10151794",8.4,44
"tt10151988",7.6,25
"tt10152382",4.4,9
"tt10153514",6.9,95
"tt10155470",7,197
"tt10156660",5,8
"tt10157340",8,17
"tt10157452",8.8,27
"tt10157584",8.6,29
"tt10157588",7.9,7
"tt10157594",6.9,36
"tt10157596",2.2,54
"tt10157598",5.7,39
"tt10157638",4.9,18
"tt10157642",7.4,12
"tt10159074",4.2,24
"tt10159596",6.6,37
"tt10159790",7.7,6
"tt10160132",8.9,18
"tt10160362",8.6,33
"tt10160560",7.1,15
"tt10160566",5.7,7
"tt10160592",7.7,2619
"tt10160626",5.8,16
"tt10160988",6.8,15
"tt10161138",6.6,11
"tt10161434",5.5,16
"tt10161644",8,10
"tt10161712",3,7
"tt10162082",6.5,140
"tt10162322",3.7,14
"tt10162384",6.3,169
"tt10162434",8.2,5
"tt10162496",8.1,881
"tt10162506",9.6,9
"tt10162586",6.5,683
"tt10162626",7.4,16
"tt10162630",9.2,54
"tt10162638",3.2,9
"tt10162920",4.8,5
"tt10162964",3.6,18
"tt10163170",4,24
"tt10163190",6.8,14
"tt10163196",8.3,72
"tt10163204",6.5,853
"tt10163846",6.8,175
"tt10165422",7,22
"tt10165608",5.9,99
"tt10165710",8.2,555
"tt10166602",8,19743
"tt10166728",7.6,49
"tt10167146",9.6,18
"tt10167284",6.7,2420
"tt10167344",8.1,8
"tt10168100",8.5,36
"tt10168312",7.4,126134
"tt10168526",7.4,14
"tt10168644",5,8
"tt10168662",7.3,33
"tt10168740",8.1,34
"tt10170218",6.7,27
"tt10171532",4,410
"tt10171930",7.5,880
"tt10172242",3.2,5
"tt10172818",7.9,12
"tt10173178",6.4,37
"tt10173814",6.7,220
"tt10174242",3.4,69
"tt10175682",8.5,50
"tt10176670",9.5,24
"tt10176834",1.8,17
"tt10178130",7.5,13
"tt10178154",8.2,169
"tt10179334",7.2,133
"tt10179578",9,10
"tt10180666",8.3,43
"tt10182080",8.3,9
"tt10182082",3.9,7
"tt10182084",8.2,12
"tt10182272",8,36
"tt10183430",7.3,748
"tt10183478",7,356
"tt10183482",8.1,8
"tt10183688",6.3,1033
"tt10183798",6.9,290
"tt10183848",6.1,17
"tt10183988",8.4,11033
"tt10184042",8.3,90
"tt10184130",7.3,9
"tt10186542",7,25
"tt10186846",7.4,3142
"tt10186972",7.6,15
"tt10187646",5.8,97
"tt10189204",7.2,73
"tt10189332",8.7,6
"tt10189448",5.8,20
"tt10189508",5.3,19
"tt10189740",3.5,9
"tt10190372",3.1,9
"tt10190514",5.8,13
"tt10192474",7.3,127
"tt10192554",9.1,11
"tt10192576",7.9,3237
"tt10193046",5.3,2005
"tt10193082",7.5,84
"tt10193538",7,13
"tt10195328",7.6,9
"tt10195382",7.4,15
"tt10195388",6,8
"tt10195436",7.6,8
"tt10195438",7.5,23
"tt10195612",7.1,150
"tt10195636",8,32
"tt10195752",7,7
"tt10195772",5.6,224
"tt10195820",3.3,156
"tt10195914",8,8
"tt10195922",8.8,18
"tt10196044",9.4,5
"tt10196152",6.6,80
"tt10196378",8.2,417
"tt10196390",7.7,2952
"tt10196394",5.9,316
"tt10196418",6.4,75
"tt10196444",6.6,42
"tt10196500",7,68
"tt10197506",7.6,21
"tt10197670",6.9,10
"tt10198566",7.4,52
"tt10198626",8.1,7
"tt10198650",7.8,15
"tt10198930",5.5,1836
"tt10199366",9.5,11
"tt10199718",6.1,662
"tt10199890",8.4,14
"tt10200004",6.8,288
"tt10200616",6.9,37
"tt10202268",7.9,37
"tt10202424",7.4,25
"tt10202960",7.6,27
"tt10204020",6.6,8
"tt10204288",2.8,22
"tt10204304",7.5,43
"tt10204658",6.9,875
"tt10205000",5.5,31
"tt10206488",6.3,13
"tt10206890",8.6,11
"tt10207090",4.3,6318
"tt10207430",7.8,212
"tt10207464",6.1,70
"tt10207496",5.2,33
"tt10207514",8.6,461
"tt10207668",5.8,215
"tt10209310",6.6,6
"tt10209930",8,20
"tt10210114",7.9,13
"tt10210252",7.2,35
"tt10210668",6,6
"tt10211804",9.2,47
"tt10214660",6,139
"tt10214672",7.1,31
"tt10214834",5.8,129
"tt10215144",2.7,106
"tt10217802",8.1,44
"tt10217950",8.7,60
"tt10218024",7.1,29
"tt10218956",5.1,12
"tt10219326",7,72
"tt10219330",8.9,117
"tt10219338",7.2,178
"tt10219416",6.4,194
"tt10219430",5.7,38
"tt10219442",8.8,335
"tt10219850",7.6,15
"tt10219906",6.2,12
"tt10220152",6.7,22
"tt10220476",7.8,654
"tt10220588",8.1,11187
"tt10222692",9.2,13
"tt10222764",7.1,6130
"tt10223226",5.2,21
